"Date","Price","Open","High","Low","Vol.","Change %"
"12/07/2021","1.1751","1.1753","1.1782","1.1740","291.28K","0.00%"
"12/06/2021","1.1751","1.1688","1.1766","1.1676","221.81K","0.51%"
"12/03/2021","1.1691","1.1776","1.1777","1.1689","173.97K","-0.69%"
"12/02/2021","1.1772","1.1731","1.1782","1.1724","188.64K","0.38%"
"12/01/2021","1.1728","1.1730","1.1776","1.1721","246.37K","0.03%"
"11/30/2021","1.1725","1.1792","1.1803","1.1710","279.34K","-0.53%"
"11/29/2021","1.1788","1.1787","1.1842","1.1773","183.17K","0.07%"
"11/26/2021","1.1780","1.1885","1.1890","1.1767","258.08K","-0.86%"
"11/25/2021","1.1882","1.1902","1.1907","1.1853","189.01K","-0.12%"
"11/24/2021","1.1896","1.1894","1.1928","1.1882","186.36K","0.07%"
"11/23/2021","1.1888","1.1922","1.1928","1.1860","223.84K","-0.27%"
"11/22/2021","1.1920","1.1919","1.1934","1.1896","280.48K","0.04%"
"11/19/2021","1.1915","1.1863","1.1929","1.1861","153.62K","0.43%"
"11/18/2021","1.1864","1.1912","1.1932","1.1862","218.73K","-0.37%"
"11/17/2021","1.1908","1.1864","1.1928","1.1852","205.86K","0.42%"
"11/16/2021","1.1858","1.1807","1.1869","1.1788","185.73K","0.49%"
"11/15/2021","1.1800","1.1722","1.1809","1.1711","165.91K","0.77%"
"11/12/2021","1.1710","1.1678","1.1731","1.1667","149.49K","0.31%"
"11/11/2021","1.1674","1.1677","1.1707","1.1662","142.58K","0.03%"
"11/10/2021","1.1671","1.1695","1.1723","1.1673","177.00K","-0.16%"
"11/09/2021","1.1690","1.1701","1.1739","1.1680","148.55K","-0.08%"
"11/08/2021","1.1699","1.1668","1.1717","1.1641","155.56K","0.30%"
"11/05/2021","1.1664","1.1682","1.1700","1.1633","159.21K","-0.15%"
"11/04/2021","1.1682","1.1787","1.1818","1.1674","207.73K","-0.85%"
"11/03/2021","1.1782","1.1756","1.1805","1.1745","198.12K","0.23%"
"11/02/2021","1.1755","1.1772","1.1789","1.1744","186.05K","-0.13%"
"11/01/2021","1.1770","1.1833","1.1846","1.1763","175.73K","-0.57%"
"10/29/2021","1.1838","1.1805","1.1860","1.1801","175.53K","0.31%"
"10/28/2021","1.1801","1.1847","1.1875","1.1796","195.90K","-0.35%"
"10/27/2021","1.1843","1.1873","1.1880","1.1812","151.19K","-0.23%"
"10/26/2021","1.1870","1.1861","1.1903","1.1853","141.78K","0.09%"
"10/25/2021","1.1859","1.1818","1.1868","1.1809","158.36K","0.48%"
